"filename", "language", "JavaScript", "CSS", "Vue", "JSON", "XML", "HTML", "Markdown", "comment", "blank", "total"
"f:\flash-sale\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 4, 0, 4, 8
"f:\flash-sale\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"f:\flash-sale\package-lock.json", "JSON", 0, 0, 0, 1276, 0, 0, 0, 0, 1, 1277
"f:\flash-sale\package.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"f:\flash-sale\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\flash-sale\src\App.vue", "Vue", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"f:\flash-sale\src\assets\404.svg", "XML", 0, 0, 0, 0, 46, 0, 0, 1, 2, 49
"f:\flash-sale\src\assets\aside_bottom.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\flash-sale\src\assets\astronaut.svg", "XML", 0, 0, 0, 0, 932, 0, 0, 1, 2, 935
"f:\flash-sale\src\assets\empty_data.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\flash-sale\src\assets\mars.svg", "XML", 0, 0, 0, 0, 151, 0, 0, 1, 2, 154
"f:\flash-sale\src\assets\meteor.svg", "XML", 0, 0, 0, 0, 29, 0, 0, 1, 2, 32
"f:\flash-sale\src\assets\spaceship.svg", "XML", 0, 0, 0, 0, 507, 0, 0, 1, 2, 510
"f:\flash-sale\src\assets\star.svg", "XML", 0, 0, 0, 0, 385, 0, 0, 1, 2, 388
"f:\flash-sale\src\assets\vue.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\flash-sale\src\components\VertitationCode.vue", "Vue", 0, 0, 24, 0, 0, 0, 0, 4, 5, 33
"f:\flash-sale\src\http\httpRequest.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 7, 11, 101
"f:\flash-sale\src\main.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 8, 24
"f:\flash-sale\src\router\router.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 2, 56
"f:\flash-sale\src\style.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"f:\flash-sale\src\views\404.vue", "Vue", 0, 0, 129, 0, 0, 0, 0, 0, 20, 149
"f:\flash-sale\src\views\HomeView.vue", "Vue", 0, 0, 251, 0, 0, 0, 0, 33, 49, 333
"f:\flash-sale\src\views\LoginView.vue", "Vue", 0, 0, 351, 0, 0, 0, 0, 71, 59, 481
"f:\flash-sale\src\views\admin\DashboardView.vue", "Vue", 0, 0, 183, 0, 0, 0, 0, 10, 26, 219
"f:\flash-sale\src\views\admin\FlashSaleActivityView.vue", "Vue", 0, 0, 146, 0, 0, 0, 0, 9, 32, 187
"f:\flash-sale\src\views\admin\ProductView.vue", "Vue", 0, 0, 304, 0, 0, 0, 0, 48, 43, 395
"f:\flash-sale\src\views\admin\ReservationView.vue", "Vue", 0, 0, 147, 0, 0, 0, 0, 10, 31, 188
"f:\flash-sale\src\views\admin\StatisticsView.vue", "Vue", 0, 0, 344, 0, 0, 0, 0, 33, 53, 430
"f:\flash-sale\src\views\admin\UserView.vue", "Vue", 0, 0, 170, 0, 0, 0, 0, 9, 32, 211
"f:\flash-sale\vite.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 1, 2, 11
"Total", "-", 161, 4, 2052, 1301, 2054, 13, 4, 241, 393, 6223
