"filename", "language", "Vue", "JSON", "XML", "HTML", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"f:\flash-sale\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 4, 0, 4, 8
"f:\flash-sale\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"f:\flash-sale\package-lock.json", "JSON", 0, 1336, 0, 0, 0, 0, 0, 0, 1, 1337
"f:\flash-sale\package.json", "JSON", 0, 27, 0, 0, 0, 0, 0, 0, 1, 28
"f:\flash-sale\public\vite.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\flash-sale\src\App.vue", "Vue", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"f:\flash-sale\src\assets\404.svg", "XML", 0, 0, 46, 0, 0, 0, 0, 1, 2, 49
"f:\flash-sale\src\assets\aside_bottom.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\flash-sale\src\assets\astronaut.svg", "XML", 0, 0, 932, 0, 0, 0, 0, 1, 2, 935
"f:\flash-sale\src\assets\empty_data.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\flash-sale\src\assets\mars.svg", "XML", 0, 0, 151, 0, 0, 0, 0, 1, 2, 154
"f:\flash-sale\src\assets\meteor.svg", "XML", 0, 0, 29, 0, 0, 0, 0, 1, 2, 32
"f:\flash-sale\src\assets\spaceship.svg", "XML", 0, 0, 507, 0, 0, 0, 0, 1, 2, 510
"f:\flash-sale\src\assets\star.svg", "XML", 0, 0, 385, 0, 0, 0, 0, 1, 2, 388
"f:\flash-sale\src\components\VertitationCode.vue", "Vue", 78, 0, 0, 0, 0, 0, 0, 30, 19, 127
"f:\flash-sale\src\http\httpRequest.js", "JavaScript", 0, 0, 0, 0, 94, 0, 0, 15, 16, 125
"f:\flash-sale\src\main.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 1, 10, 32
"f:\flash-sale\src\router\router.js", "JavaScript", 0, 0, 0, 0, 102, 0, 0, 7, 17, 126
"f:\flash-sale\src\stores\product.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"f:\flash-sale\src\style.css", "CSS", 0, 0, 0, 0, 0, 26, 0, 0, 4, 30
"f:\flash-sale\src\views\404.vue", "Vue", 129, 0, 0, 0, 0, 0, 0, 0, 20, 149
"f:\flash-sale\src\views\DetailView.vue", "Vue", 297, 0, 0, 0, 0, 0, 0, 28, 63, 388
"f:\flash-sale\src\views\HomeView.vue", "Vue", 286, 0, 0, 0, 0, 0, 0, 33, 51, 370
"f:\flash-sale\src\views\LoginView.vue", "Vue", 364, 0, 0, 0, 0, 0, 0, 78, 63, 505
"f:\flash-sale\src\views\admin\DashboardView.vue", "Vue", 189, 0, 0, 0, 0, 0, 0, 13, 25, 227
"f:\flash-sale\src\views\admin\FlashSaleActivityView.vue", "Vue", 146, 0, 0, 0, 0, 0, 0, 9, 32, 187
"f:\flash-sale\src\views\admin\OrderView.vue", "Vue", 97, 0, 0, 0, 0, 0, 0, 8, 16, 121
"f:\flash-sale\src\views\admin\ProductView.vue", "Vue", 311, 0, 0, 0, 0, 0, 0, 48, 46, 405
"f:\flash-sale\src\views\admin\ReservationUserView.vue", "Vue", 90, 0, 0, 0, 0, 0, 0, 8, 16, 114
"f:\flash-sale\src\views\admin\ReservationView.vue", "Vue", 144, 0, 0, 0, 0, 0, 0, 10, 31, 185
"f:\flash-sale\src\views\admin\StatisticsView.vue", "Vue", 352, 0, 0, 0, 0, 0, 0, 36, 60, 448
"f:\flash-sale\src\views\admin\UserView.vue", "Vue", 170, 0, 0, 0, 0, 0, 0, 9, 32, 211
"f:\flash-sale\vite.config.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 1, 2, 11
"Total", "-", 2656, 1363, 2053, 13, 240, 26, 4, 340, 546, 7241
