"filename", "language", "CSS", "JavaScript", "Vue", "XML", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"f:\flash-sale\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 4, 0, 4, 8
"f:\flash-sale\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"f:\flash-sale\package-lock.json", "JSON", 0, 0, 0, 0, 1336, 0, 0, 0, 1, 1337
"f:\flash-sale\package.json", "JSON", 0, 0, 0, 0, 27, 0, 0, 0, 1, 28
"f:\flash-sale\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"f:\flash-sale\src\App.vue", "Vue", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"f:\flash-sale\src\assets\404.svg", "XML", 0, 0, 0, 46, 0, 0, 0, 1, 2, 49
"f:\flash-sale\src\assets\aside_bottom.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"f:\flash-sale\src\assets\astronaut.svg", "XML", 0, 0, 0, 932, 0, 0, 0, 1, 2, 935
"f:\flash-sale\src\assets\empty_data.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"f:\flash-sale\src\assets\mars.svg", "XML", 0, 0, 0, 151, 0, 0, 0, 1, 2, 154
"f:\flash-sale\src\assets\meteor.svg", "XML", 0, 0, 0, 29, 0, 0, 0, 1, 2, 32
"f:\flash-sale\src\assets\spaceship.svg", "XML", 0, 0, 0, 507, 0, 0, 0, 1, 2, 510
"f:\flash-sale\src\assets\star.svg", "XML", 0, 0, 0, 385, 0, 0, 0, 1, 2, 388
"f:\flash-sale\src\components\VertitationCode.vue", "Vue", 0, 0, 67, 0, 0, 0, 0, 27, 17, 111
"f:\flash-sale\src\http\httpRequest.js", "JavaScript", 0, 94, 0, 0, 0, 0, 0, 15, 16, 125
"f:\flash-sale\src\main.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 3, 11, 36
"f:\flash-sale\src\router\router.js", "JavaScript", 0, 102, 0, 0, 0, 0, 0, 7, 17, 126
"f:\flash-sale\src\stores\product.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"f:\flash-sale\src\style.css", "CSS", 43, 0, 0, 0, 0, 0, 0, 0, 8, 51
"f:\flash-sale\src\styles\button.css", "CSS", 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"f:\flash-sale\src\views\404.vue", "Vue", 0, 0, 129, 0, 0, 0, 0, 0, 20, 149
"f:\flash-sale\src\views\DetailView.vue", "Vue", 0, 0, 297, 0, 0, 0, 0, 28, 63, 388
"f:\flash-sale\src\views\HomeView.vue", "Vue", 0, 0, 286, 0, 0, 0, 0, 33, 51, 370
"f:\flash-sale\src\views\LoginView.vue", "Vue", 0, 0, 372, 0, 0, 0, 0, 78, 65, 515
"f:\flash-sale\src\views\admin\DashboardView.vue", "Vue", 0, 0, 191, 0, 0, 0, 0, 13, 25, 229
"f:\flash-sale\src\views\admin\FlashSaleActivityView.vue", "Vue", 0, 0, 162, 0, 0, 0, 0, 9, 34, 205
"f:\flash-sale\src\views\admin\OrderView.vue", "Vue", 0, 0, 113, 0, 0, 0, 0, 8, 21, 142
"f:\flash-sale\src\views\admin\ProductView.vue", "Vue", 0, 0, 327, 0, 0, 0, 0, 48, 50, 425
"f:\flash-sale\src\views\admin\ReservationUserView.vue", "Vue", 0, 0, 106, 0, 0, 0, 0, 8, 21, 135
"f:\flash-sale\src\views\admin\ReservationView.vue", "Vue", 0, 0, 160, 0, 0, 0, 0, 10, 35, 205
"f:\flash-sale\src\views\admin\StatisticsView.vue", "Vue", 0, 0, 375, 0, 0, 0, 0, 47, 74, 496
"f:\flash-sale\src\views\admin\UserView.vue", "Vue", 0, 0, 186, 0, 0, 0, 0, 9, 38, 233
"f:\flash-sale\vite.config.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 1, 2, 11
"Total", "-", 67, 241, 2774, 2053, 1363, 13, 4, 350, 596, 7461
