"filename", "language", "Vue", "CSS", "JavaScript", "comment", "blank", "total"
"f:\flash-sale\src\http\httpRequest.js", "JavaScript", 0, 0, 22, 3, 4, 29
"f:\flash-sale\src\style.css", "CSS", 0, 4, 0, 1, 5, 10
"f:\flash-sale\src\views\DetailView.vue", "Vue", 12, 0, 0, 9, -7, 14
"f:\flash-sale\src\views\HomeView.vue", "Vue", 59, 0, 0, 24, 2, 85
"f:\flash-sale\src\views\LoginView.vue", "Vue", 41, 0, 0, 0, -3, 38
"f:\flash-sale\src\views\admin\DashboardView.vue", "Vue", 2, 0, 0, 0, -2, 0
"f:\flash-sale\src\views\admin\FlashSaleActivityView.vue", "Vue", 57, 0, 0, 1, -5, 53
"f:\flash-sale\src\views\admin\OrderView.vue", "Vue", 304, 0, 0, 20, 35, 359
"f:\flash-sale\src\views\admin\ProductView.vue", "Vue", 108, 0, 0, 3, 1, 112
"f:\flash-sale\src\views\admin\ReservationUserView.vue", "Vue", 127, 0, 0, 19, 13, 159
"f:\flash-sale\src\views\admin\ReservationView.vue", "Vue", 100, 0, 0, 8, 0, 108
"f:\flash-sale\src\views\admin\StatisticsView.vue", "Vue", 110, 0, 0, 10, -2, 118
"f:\flash-sale\src\views\admin\UserView.vue", "Vue", 245, 0, 0, 38, 12, 295
"Total", "-", 1165, 4, 22, 136, 53, 1380
