"filename", "language", "JSON", "HTML", "JavaScript", "CSS", "XML", "Markdown", "Vue", "comment", "blank", "total"
"f:\flash-sale\README.md", "Markdown", 0, 0, 0, 0, 0, 4, 0, 0, 4, 8
"f:\flash-sale\index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"f:\flash-sale\package-lock.json", "JSON", 1330, 0, 0, 0, 0, 0, 0, 0, 1, 1331
"f:\flash-sale\package.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"f:\flash-sale\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\flash-sale\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"f:\flash-sale\src\assets\404.svg", "XML", 0, 0, 0, 0, 46, 0, 0, 1, 2, 49
"f:\flash-sale\src\assets\aside_bottom.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\flash-sale\src\assets\astronaut.svg", "XML", 0, 0, 0, 0, 932, 0, 0, 1, 2, 935
"f:\flash-sale\src\assets\empty_data.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\flash-sale\src\assets\load_image.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\flash-sale\src\assets\mars.svg", "XML", 0, 0, 0, 0, 151, 0, 0, 1, 2, 154
"f:\flash-sale\src\assets\meteor.svg", "XML", 0, 0, 0, 0, 29, 0, 0, 1, 2, 32
"f:\flash-sale\src\assets\spaceship.svg", "XML", 0, 0, 0, 0, 507, 0, 0, 1, 2, 510
"f:\flash-sale\src\assets\star.svg", "XML", 0, 0, 0, 0, 385, 0, 0, 1, 2, 388
"f:\flash-sale\src\components\VertitationCode.vue", "Vue", 0, 0, 0, 0, 0, 0, 67, 27, 17, 111
"f:\flash-sale\src\http\httpRequest.js", "JavaScript", 0, 0, 132, 0, 0, 0, 0, 21, 26, 179
"f:\flash-sale\src\main.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 3, 11, 36
"f:\flash-sale\src\router\router.js", "JavaScript", 0, 0, 102, 0, 0, 0, 0, 7, 17, 126
"f:\flash-sale\src\stores\product.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"f:\flash-sale\src\style.css", "CSS", 0, 0, 0, 59, 0, 0, 0, 2, 16, 77
"f:\flash-sale\src\styles\button.css", "CSS", 0, 0, 0, 24, 0, 0, 0, 0, 5, 29
"f:\flash-sale\src\views\404.vue", "Vue", 0, 0, 0, 0, 0, 0, 548, 0, 43, 591
"f:\flash-sale\src\views\404_v1.vue", "Vue", 0, 0, 0, 0, 0, 0, 129, 0, 20, 149
"f:\flash-sale\src\views\DetailView.vue", "Vue", 0, 0, 0, 0, 0, 0, 472, 75, 82, 629
"f:\flash-sale\src\views\HomeView.vue", "Vue", 0, 0, 0, 0, 0, 0, 347, 62, 52, 461
"f:\flash-sale\src\views\LoginView.vue", "Vue", 0, 0, 0, 0, 0, 0, 410, 81, 62, 553
"f:\flash-sale\src\views\admin\DashboardView.vue", "Vue", 0, 0, 0, 0, 0, 0, 193, 13, 23, 229
"f:\flash-sale\src\views\admin\FlashSaleActivityView.vue", "Vue", 0, 0, 0, 0, 0, 0, 423, 51, 58, 532
"f:\flash-sale\src\views\admin\OrderView.vue", "Vue", 0, 0, 0, 0, 0, 0, 413, 40, 56, 509
"f:\flash-sale\src\views\admin\ProductView.vue", "Vue", 0, 0, 0, 0, 0, 0, 433, 57, 51, 541
"f:\flash-sale\src\views\admin\ReservationUserView.vue", "Vue", 0, 0, 0, 0, 0, 0, 234, 32, 34, 300
"f:\flash-sale\src\views\admin\ReservationView.vue", "Vue", 0, 0, 0, 0, 0, 0, 404, 43, 57, 504
"f:\flash-sale\src\views\admin\StatisticsView.vue", "Vue", 0, 0, 0, 0, 0, 0, 511, 57, 71, 639
"f:\flash-sale\src\views\admin\UserView.vue", "Vue", 0, 0, 0, 0, 0, 0, 430, 53, 50, 533
"f:\flash-sale\vite.config.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 1, 2, 11
"Total", "-", 1356, 13, 279, 83, 2054, 4, 5017, 631, 776, 10213
